total entries,2136,,Total species,28
toal # flowered,218,,# of species flowered,15
# entries leafout,1704,,species with 10+ inds flowered,7
# entries budbust,1926,,Which,
"#entries flower, no leafout",22,,#1 ACEPEN    11,11
"#entries flower, no budbust",6,,#2 ACERUB    23,23
no anything,204,,#3 CORCOR    23,23
,,,#4 ILEMUC    60,60
,,,#5 POPGRA    25,25
,,,#6 PRUPEN    28,28
,,,#7 VIBLAN    13,13
,,,,
,,,Number of flowering obs/ total obs per species,
,,,#1 ACEPEN    11/144,
,,,#2 ACERUB    23/132,
,,,#3 CORCOR    23/48,
,,,#4 ILEMUC    60/144,
,,,#5 POPGRA    25/132,
,,,#6 PRUPEN    28/56,
,,,#7 VIBLAN    13/144,
